"";"Sample_name";"Sample_ID_demultiplexing";"SITE_PAIR";"PLOT_ID";"SUBPLOT";"SITE_ID";"MANAGEMENT";"MESH_TYPE";"locality_id";"GDD0";"precip_Plot_ID_coll_3";"N %";"C/N";"E3pH";"percent_mass_loss";"ergosterol_new";"bioclim_10";"bioclim_7";"vac.myr"
"28";"GUL_NN_L_15";"S029";2;3;15;"GUL";"NN";"L";"GUL_NN_15";"3515.7057291666665";"1681.19010519271";"1.72";"30.7";"4.1";"49.1655695838484";0,457170874;13,33121681;47,74009705;"8"
"29";"GUL_NN_S_15";"S030";2;3;15;"GUL";"NN";"S";"GUL_NN_15";"3515.7057291666665";"1681.19010519271";"1.72";"30.7";"4.1";"52.8055209593634";0,340257597;13,33121681;47,74009705;"8"
"30";"GUL_NN_L_16";"S031";2;3;16;"GUL";"NN";"L";"GUL_NN_16";"3460.1451822916665";"1681.19010519271";"1.72";"30.7";"4.1";"55.8452596019076";0,384320465;13,33121681;47,74009705;"4"
"31";"GUL_NN_S_16";"S032";2;3;16;"GUL";"NN";"S";"GUL_NN_16";"3460.1451822916665";"1681.19010519271";"1.72";"30.7";"4.1";"55.247297475494";0,302018337;13,33121681;47,74009705;"4"
"32";"GUL_NN_L_17";"S033";2;3;17;"GUL";"NN";"L";"GUL_NN_17";"3456.186848958333";"1681.19010519271";"1.72";"30.7";"4.1";"57.8569091687684";0,461116492;13,33121681;47,74009705;"3"
"33";"GUL_NN_S_17";"S034";2;3;17;"GUL";"NN";"S";"GUL_NN_17";"3456.186848958333";"1681.19010519271";"1.72";"30.7";"4.1";"61.7809101466615";0,346712472;13,33121681;47,74009705;"3"
"34";"GUL_NN_L_18";"S035";2;3;18;"GUL";"NN";"L";"GUL_NN_18";"3277.736328125";"1681.19010519271";"1.72";"30.7";"4.1";"55.2761703161658";0,32214636;13,33121681;47,74009705;"2"
"35";"GUL_NN_S_18";"S036";2;3;18;"GUL";"NN";"S";"GUL_NN_18";"3277.736328125";"1681.19010519271";"1.72";"30.7";"4.1";"50.0377850913151";0,369023694;13,33121681;47,74009705;"2"
"36";"GUL_CC_L_19";"S037";2;4;19;"GUL";"CC";"L";"GUL_CC_19";"3478.733723958333";"1604.21259546129";"1.56";"33.4";"3.92";"52.8318441092563";0,402279425;13,46240044;47,56110001;"3"
"37";"GUL_CC_S_19";"S038";2;4;19;"GUL";"CC";"S";"GUL_CC_19";"3478.733723958333";"1604.21259546129";"1.56";"33.4";"3.92";"52.0721671688868";0,367634703;13,46240044;47,56110001;"3"
